singer,num_song,meanthumb,meansenti
miwa,1,2482.0,0.130434782609
贝多芬,2,3689.28571429,-0.0276171579743
Leaf,3,2779.42857143,0.024840239126
脑浊,1,1638.0,0.0285714285714
东来东往,2,2622.25,-0.0539772727273
BLACKPINK,5,6059.42553191,0.0269158570092
许巍,19,5950.84545455,0.0496699332751
任素汐,1,35174.5333333,-0.0006999352466
AGA,6,9556.81578947,0.048131395063
Choco And Vanilla,1,2420.2,0.258205128205
Detektivbyrån,2,2807.8,0.0535353535353
印子月,2,2148.33333333,0.0189393939393
Dierks Bentley,1,5279.33333333,0.139316239316
7妹,1,5366.0,-0.0491071428572
林隆璇,1,3678.0,0.111111111111
Enrique Ugarte,1,1626.0,0.1
六个国王,1,3251.66666667,0.0833333333333
骑自行车的风景,1,3224.0,0.144894894895
魏新雨,1,6413.69230769,0.0347985347985
Ethno Music Project,1,2638.0,-0.0284961097462
Bryson Andres,2,3602.5,0.0570839978734
増田俊郎,3,4752.33333333,0.0369658119658
らいらい,1,4778.4,0.184821428571
Nightcore,4,3329.5,0.0219322344322
卞留念,1,2907.75,0.0257751937985
東山奈央,1,2540.33333333,-0.111111111111
Jim Croce,2,2147.4,0.07
Nirvana,5,3359.0,-0.0135529954206
Annabel,2,3899.11111111,-0.00915946798301
Mapps,1,3230.5,0.0440476190475
白止,2,4854.71428571,0.0205023547881
福原美穂,1,2781.0,0.0
Timmy Trumpet,6,12335.2380952,0.0118055555555
Agnes Obel,1,6596.875,-0.0270359848485
庄心妍,10,7193.390625,0.0694628515652
遠TONE音,1,2847.0,0.111336032389
慕寒,12,3104.90196078,0.0153284408632
EMBRZ,1,2025.0,0.0
范玮琪,9,3782.93478261,0.0918263950873
关淑怡,4,2322.4,-0.0142857142857
海楠,1,10914.25,0.0555555555555
SOLBOI,1,1742.0,0.0
Cymophane,1,16793.4166667,0.0652747645443
陈学冬,1,6402.81818182,0.0750430125429
龚芝怡,1,3571.16666667,-0.0373015873016
The A-Teens,1,7064.33333333,-0.0972617527215
Assen捷,2,2531.66666667,0.124702380952
程池,1,2336.33333333,0.0416666666667
Gustavo Santaolalla,2,2200.5,0.147222222222
Kev,1,1941.0,0.0833333333335
朴灿烈,3,2568.09090909,0.0554066160878
梁咏琪,4,4313.47058824,0.098128639918
野中藍,2,2282.66666667,0.168421052632
Lucky Stroke,1,3012.0,-0.173611111111
UPLIFT SPICE,2,4801.11111111,0.086610502787
Chelsea Lankes,1,5661.0,0.333333333333
木村弓,1,1927.0,0.09375
于弘,1,1991.5,0.0
Tez Cadey,3,13553.5833333,0.0551634297951
Silent Partner,1,2287.0,0.233333333333
王亚民,1,3199.0,0.0
天時,1,2879.5,0.142857142857
Kehlani,1,3711.16666667,0.0762391434561
hyukoh,2,3431.16666667,0.0610380116958
Luvbug,1,6160.16666667,0.0146825396825
BUMP OF CHICKEN,1,3434.0,0.011111111111
Crooked Still,1,2387.0,0.0
Sander Van Doorn,1,2199.0,0.2
小岩井ことり,2,2780.4,0.0578643578644
DEAMN,3,2602.54545455,0.145552679643
ZheShow,1,2959.0,0.0
不可撤销,4,4562.33333333,0.155221195716
The Chainsmokers,13,8079.54651163,0.0571494644434
加藤有加利,2,3994.09090909,0.0455796792695
刘亦菲,3,2803.16666667,0.0843763931773
Elektronomia,6,3729.25,0.0920324569222
勃拉姆斯,2,2279.0,0.119369369369
乔洋,2,2027.66666667,0.0555555555557
黄宗泽,1,2024.0,0.0
ATF李淑宁,1,2486.0,0.396103896103
Aaron Carter,1,2762.0,0.0928362573099
F.I.R,1,4966.42857143,-0.0773809523809
李遐怡,6,2955.0,0.0676896942154
Travis Scott,1,1848.0,0.0
雷诺儿,1,4789.4,-0.0404761904762
Zeus,2,4252.66666667,0.0500721500722
特曼,19,3632.53921569,0.0108098183781
七森中☆ごらく部,1,1974.0,0.0
Aiobahn,3,2742.0,0.0178571428571
Mazde,1,4593.33333333,-0.0819444444443
Jusqu'à Grand-Père,2,5514.0,0.014615020552
Sick Individuals,1,2733.0,0.0
李洪基,1,2877.75,0.03991008991
$uicideboy$,2,2453.0,-0.0346153846153
Queen,8,5778.31578947,0.0285002042502
常静,1,3378.25,-0.0187675070029
CALLmeKAT,1,1905.66666667,-0.0666666666667
轮回,1,1916.5,0.111111111111
Crepe,3,3180.0,0.0738491234181
David Bisbal,1,1537.0,-0.1
Lao干妈,8,3291.45454545,0.00147550810774
好妹妹乐队,26,6073.67721519,0.0677810893221
Megan & Liz,1,6271.5,0.0258012820513
Pia Mia,1,1878.0,0.0
Galen Crew,5,9497.47619048,0.0396508069265
Elyonbeats,3,3335.63636364,-0.012987012987
DJ Soviet,2,2248.6,0.0472222222222
Azuro,1,2579.0,0.0
孝琳,4,3115.0,0.0864748677249
尤雅,1,1511.0,0.333333333333
韩晶,1,2094.0,0.2
Fifth Harmony,2,11085.25,0.011084446954
SharaX,1,3715.4,-0.0166666666667
陈辉权,1,2737.0,-0.0454545454545
DATHAN,1,1867.33333333,0.0765582655828
何洁,6,2581.38888889,0.0931036556036
Lindsey Stirling,7,5130.88571429,0.0936885057053
Andrew Allen,1,1692.0,0.304347826087
唐朝,2,4490.66666667,-0.0224812224812
希莉娜依,1,5452.0,0.0190476190476
Walk The Moon,1,5084.0,0.074074074074
Gson & Abley,1,3246.0,0.25
杨坤,5,3410.83333333,-0.00567580567581
高田憂希,1,2131.0,0.212698412698
老干妈,1,4953.33333333,0.0259502923976
Natio,3,7198.61538462,0.0900833450175
The Band Perry,1,16246.9230769,0.105513033975
TJR,4,4288.25,0.146875
Maxone,1,3932.2,0.16957503281
金玟岐,15,9106.49411765,0.090196197198
贝贝,1,1818.0,0.0
程思佳,1,3657.33333333,0.0489316239317
B0untya,1,2765.5,0.1125
Lovestoned,2,11603.6,0.0096738392327
黄磊,1,2519.66666667,0.0833333333333
鹏泊,5,8888.84615385,0.0554314092776
杨臣刚,1,3398.0,0.0277777777777
大野克夫,4,9855.72413793,-0.0101913622159
The Evpatoria Report,1,3795.8,0.161266968326
Sean PM,1,2341.0,0.0
Marina and the Diamonds,2,2474.75,0.036044973545
李雅微,2,4620.28571429,0.101666392363
郭妮,1,1491.0,0.217391304348
Sam Hunt,3,3421.6,-0.0666666666666
相内恵,1,2118.0,-0.25
Alesso,6,2691.23076923,0.0893521352407
松井祐貴,1,2822.0,-0.125
